ID,COU,RES,SITE,SITE_ID,PLOT,Date,Microsite,ID_Microsite,diameter_1(cm),diameter_2(cm),canopy area (cm2),Number of replicate,Quadrat,Species within quadrat,Cover (%)
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,112,115,10116,1,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,112,115,10116,1,,Nassauvia darwinii,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,112,115,10116,1,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,112,115,10116,1,,Cerastium arvense,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,1,,Nassauvia darwinii,15
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,1,,Festuca pallescens,20
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,1,,Acaena integerrima,2
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,1,,Cerastium arvense,3
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,112,115,10116,2,,Nassauvia darwinii,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,112,115,10116,2,,Festuca pyrogea,15
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,112,115,10116,2,,Cerastium arvense,4
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,2,,Nassauvia darwinii,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,2,,Festuca pyrogea,2
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,2,,Acaena integerrima,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,2,,Cerastium arvense,2
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,60,60,2827,1,,Nassauvia darwinii,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,60,60,2827,1,,Galium fuegianum,4
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,1,,Acaena spp. ,2
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,1,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,30,20,471,2,,Cerastium arvense,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,2,,Acaena spp. ,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,30,942,3,,Festuca pyrogea,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,30,942,3,,Taraxacum officinale,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,3,,Nassauvia darwinii,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,3,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,40,1257,4,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,40,1257,4,,Festuca pyrogea,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,40,1257,4,,Cerastium arvense,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,4,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,4,,Acaena integerrima,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,4,,Taraxacum officinale,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,40,30,942,3,,Nassauvia darwinii,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,40,30,942,3,,Viola maculata,4
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,40,30,942,3,,Festuca pyrogea,4
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,3,,Nassauvia darwinii,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,20,25,393,5,,Festuca pyrogea,20
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,20,25,393,5,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,5,,Acaena spp. ,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,5,,Viola maculata,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,30,30,707,4,,Nassauvia darwinii,20
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,30,30,707,4,,Viola maculata,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,30,30,707,4,,Festuca pyrogea,15
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,4,,Nassauvia darwinii,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,4,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,4,,Cerastium arvense,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,35,1100,6,,Festuca pallescens,20
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,35,1100,6,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,35,1100,6,,Taraxacum officinale,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,6,,Acaena spp. ,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,6,,Viola maculata,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,30,25,589,5,,Nassauvia darwinii,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,30,25,589,5,,Acaena integerrima,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,30,25,589,5,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,5,,Festuca pyrogea,15
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,5,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,acaena integerrima,40,35,1100,7,,Nassauvia darwinii,20
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,acaena integerrima,40,35,1100,7,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,acaena integerrima,40,35,1100,7,,Festuca pyrogea,20
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,7,,Festuca pyrogea,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,7,,Acaena integerrima,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,7,,Viola maculata,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,25,20,393,8,,Nassauvia darwinii,20
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,25,20,393,8,,Festuca pyrogea,20
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,8,,Acaena integerrima ,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,8,,Viola maculata,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,8,,Festuca pallescens,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,30,30,707,9,,Nassauvia darwinii,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,30,30,707,9,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,30,30,707,9,,Festuca pyrogea,15
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,9,,Acaena integerrima,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,50,50,1963,10,,Festuca pyrogea,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,50,50,1963,10,,Taraxacum officinale,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,50,50,1963,10,,Nassauvia darwinii,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,50,50,1963,10,,Viola maculata,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,10,,Festuca pyrogea,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,10,,Viola maculata,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,10,,Acaena integerrima,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,10,,Taraxacum officinale,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,30,40,942,6,,Viola maculata,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,6,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,30,35,825,7,,Acaena integerrima,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,30,35,825,7,,Lathyrus magellanicus,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,7,,Festuca pyrogea,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,7,,Viola maculata,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,7,,Acaena integerrima,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,120,130,12252,11,,Festuca pyrogea,15
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,11,,Festuca pyrogea,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,11,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,45,1414,12,,Taraxacum officinale,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,45,1414,12,,Festuca pallescens,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,45,1414,12,,Cerastium arvense,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,45,1414,12,,Lathyrus magellanicus,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,12,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,12,,Acaena integerrima,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,50,40,1571,13,,Festuca pallescens,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,50,40,1571,13,,Viola maculata,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,50,40,1571,13,,Calceolaria biflora,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,13,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,13,,Viola maculata,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,13,,Acaena integerrima,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,acaena integerrima,40,25,785,14,,Festuca pyrogea,15
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,acaena integerrima,40,25,785,14,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,14,,Acaena integerrima,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,14,,Viola maculata,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,14,,Festuca pyrogea,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,40,40,1257,8,,Hordeum murinum,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,40,40,1257,8,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,8,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,40,40,1257,9,,Hordeum murinum,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,9,,Festuca pyrogea,15
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,45,1414,15,,Festuca pyrogea,15
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,45,1414,15,,Viola maculata,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,15,,Taraxacum officinale,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,15,,Acaena integerrima,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,15,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,50,45,1767,16,,Festuca pyrogea,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,50,45,1767,16,,Viola maculata,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,50,45,1767,16,,Hordeum murinum,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,16,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,16,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,40,1257,17,,Festuca pallescens,15
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,40,1257,17,,Viola maculata,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,17,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,17,,Acaena integerrima,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,40,35,1100,10,,Festuca pyrogea,15
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,40,35,1100,10,,Acaena integerrima,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Festuca pallescens,40,35,1100,10,,Cerastium arvense,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,10,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,10,,Festuca pyrogea,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,10,,Acaena integerrima,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,50,40,1571,18,,Senecio sericeo-nitens,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,50,40,1571,18,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,18,,Acaena integerrima,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,18,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,18,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,50,60,2356,19,,Cerastium arvense,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,50,60,2356,19,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,50,60,2356,19,,Festuca pallescens,15
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,19,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,19,,Acaena integerrima,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,60,60,2827,20,,Festuca pyrogea,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,60,60,2827,20,,Festuca pallescens,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,60,60,2827,20,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,60,60,2827,20,,Cerastium arvense,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,20,,Taraxacum officinale,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,20,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,20,,Acaena integerrima,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,20,,Viola maculata,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,50,1571,21,,Festuca pyrogea,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,40,50,1571,21,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,21,,Acaena pinnatifida,1
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,21,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,130,140,14294,22,,Festuca pallescens,10
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,130,140,14294,22,,Festuca pyrogea,5
